date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:43	205774/205774	---MCZ	200	added ('OK')	text/html	etag:W/%22311c6-sN5rHH+ik7zrNMcLBZTrQTX07o0%22	https://trome.pe/deportes/rodrigo-cuba-gato-llora-y-arremete-contra-prensa-de-espectaculos-es-muy-invasiva-video-melissa-paredes-sport-boys-noticia/	C:/My%20Web%20Sites/Trome%20dup/trome.pe/deportes/rodrigo-cuba-gato-llora-y-arremete-contra-prensa-de-espectaculos-es-muy-invasiva-video-melissa-paredes-sport-boys-noticia/index.html	(from https://trome.pe/noticias/rodrigo-cuba/)
20:32:43	3751/3751	---M--	200	added ('OK')	image/jpeg	etag:%22b420bd77aebe416142ce25e3a0062b511fab53c8%22	https://trome.pe/resizer/NMQc8MBa8bIebNhcBiHvcL1OrNE=/118x72/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2IU2A2E7TJBFHFK4744OFQOGC4.jpg	C:/My%20Web%20Sites/Trome%20dup/trome.pe/resizer/NMQc8MBa8bIebNhcBiHvcL1OrNE=/118x72/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2IU2A2E7TJBFHFK4744OFQOGC4.jpg	(from https://trome.pe/noticias/shakira/)
20:32:43	9932/9932	---M--	200	added ('OK')	image/jpeg	etag:%2247b354d6d85091e65adff3c240f068c5a38ed5c8%22	https://trome.pe/resizer/ljZ5dLJ6iEX2P_DtfqwqSLW-AvI=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2IU2A2E7TJBFHFK4744OFQOGC4.jpg	C:/My%20Web%20Sites/Trome%20dup/trome.pe/resizer/ljZ5dLJ6iEX2P_DtfqwqSLW-AvI=/234x161/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2IU2A2E7TJBFHFK4744OFQOGC4.jpg	(from https://trome.pe/noticias/shakira/)
20:32:43	204722/204722	---MCZ	200	added ('OK')	text/html	etag:W/%2230da9-69qIeOQu6sWZh5WMQb6xNKHYpHc%22	https://trome.pe/espectaculos/rodrigo-cuba-llora-por-pasado-enfrentamiento-con-melissa-paredes-como-haces-para-jugar-con-tanto-problema-giancarlo-granda-farandula-noticia/	C:/My%20Web%20Sites/Trome%20dup/trome.pe/espectaculos/rodrigo-cuba-llora-por-pasado-enfrentamiento-con-melissa-paredes-como-haces-para-jugar-con-tanto-problema-giancarlo-granda-farandula-noticia/index.html	(from https://trome.pe/noticias/rodrigo-cuba/)
20:32:43	2885/2885	---M--	200	added ('OK')	image/jpeg	etag:%223298a102d2a5bce6647eeda94d88c0189e0b7afa%22	https://trome.pe/resizer/qG4WtDjTM8gASbVwdOy9gJaDD_Y=/118x72/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/JDIKKXNE55GWXJN62P7QESARQE.png	C:/My%20Web%20Sites/Trome%20dup/trome.pe/resizer/qG4WtDjTM8gASbVwdOy9gJaDD_Y=/118x72/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/JDIKKXNE55GWXJN62P7QESARQE.jpg	(from https://trome.pe/noticias/shakira/)
20:32:44	8638/8638	---M--	200	added ('OK')	image/jpeg	etag:%226dc42f7e01b08d0c80eefc480bfb259abbfd9b36%22	https://trome.pe/resizer/Oh2m7HpSYSlHxvVLloyhju89S0Q=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/JDIKKXNE55GWXJN62P7QESARQE.png	C:/My%20Web%20Sites/Trome%20dup/trome.pe/resizer/Oh2m7HpSYSlHxvVLloyhju89S0Q=/234x161/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/JDIKKXNE55GWXJN62P7QESARQE.jpg	(from https://trome.pe/noticias/shakira/)
20:32:44	205038/205038	---MCZ	200	added ('OK')	text/html	etag:W/%2230ee4-5WbNCjskpt9yZZ4axgYdfQuyA3Q%22	https://trome.pe/espectaculos/melissa-paredes-sobre-la-buena-relacion-que-mantiene-con-el-gato-rodrigo-cuba-vamos-a-ser-papas-toda-la-vida-sin-temer-lo-que-diga-la-gente-ale-venturo-el-activador-farandula-noticia/	C:/My%20Web%20Sites/Trome%20dup/trome.pe/espectaculos/melissa-paredes-sobre-la-buena-relacion-que-man/index.html	(from https://trome.pe/noticias/rodrigo-cuba/)
20:32:44	2510/2510	---M--	200	added ('OK')	image/jpeg	etag:%22af14eec3b23576a4085ed738f9d757bd9f51c531%22	https://trome.pe/resizer/AR71Awtd-Fa8PbVTMl-AfSBO-mM=/118x72/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2GTOPR6X55FY5AP27RP3PV4HVU.jpg	C:/My%20Web%20Sites/Trome%20dup/trome.pe/resizer/AR71Awtd-Fa8PbVTMl-AfSBO-mM=/118x72/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2GTOPR6X55FY5AP27RP3PV4HVU.jpg	(from https://trome.pe/noticias/shakira/)
20:32:45	7076/7076	---M--	200	added ('OK')	image/jpeg	etag:%22bc285ea01b3e5ef7e4868e0d5333dd5715017d72%22	https://trome.pe/resizer/DbcjSycOvjp4zjuFK2_HMWD7uiA=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2GTOPR6X55FY5AP27RP3PV4HVU.jpg	C:/My%20Web%20Sites/Trome%20dup/trome.pe/resizer/DbcjSycOvjp4zjuFK2_HMWD7uiA=/234x161/smart/filters_format(jpeg)_quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2GTOPR6X55FY5AP27RP3PV4HVU.jpg	(from https://trome.pe/noticias/shakira/)
20:32:45	209059/209059	---M-Z	200	added ('OK')	text/html	etag:W/%2231e99-0RpbhXZII050hfNQF0J03EGxuIM%22	https://trome.pe/videos/espectaculos/rodrigo-cuba-publica-tierno-video-del-cumpleanos-de-su-hija-y-sorprende-a-cibernautas-farandula-noticia/	C:/My%20Web%20Sites/Trome%20dup/trome.pe/videos/espectaculos/rodrigo-cuba-publica-tierno-video-del-cumpleanos-de-su-hija-y-sorprende-a-cibernautas-farandula-noticia/index.html	(from https://trome.pe/noticias/rodrigo-cuba/)
